Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation,Domain
"WAIS-IV: When index variability makes FSIQ uninterpretable, what threshold does the reading give for considering GAI instead of FSIQ?",A difference ≥ 10 points between the highest and lowest indexes,A difference ≥ 15 points between the highest and lowest indexes,A difference ≥ 23 points (≈1.5 SD) between the highest and lowest indexes,Any visible difference between indexes,,C,"If the spread among the four WAIS-IV index scores exceeds ~1.5 SD (23 points), FSIQ is not considered a reliable global estimate and GAI should be considered. This is a common NPE pitfall on interpretation questions.",Assessment
Which WAIS-IV indexes compose the General Ability Index (GAI)?,VCI and PRI,VCI and WMI,PRI and PSI,WMI and PSI,,A,"GAI uses only Verbal Comprehension (VCI) and Perceptual Reasoning (PRI), excluding working memory and processing speed. NPE often tests index composition and what GAI represents.",Assessment
"On the WISC-V, which index best reflects inductive and quantitative reasoning?",VSI,FRI,WMI,PSI,,B,The Fluid Reasoning Index (FRI) assesses inductive and quantitative reasoning and broad visual intelligence—key for applied interpretation on child assessments.,Assessment
"A child is 7 years, 2 months old. Which cognitive battery is age-appropriate per the reading’s ranges?",WPPSI,WISC-V,WAIS-IV,SB5 only,,B,"WISC-V covers ages 6:0–16:11 (AUS/NZ norms available). WPPSI is for younger children (portions covering 2:6–7:7), but for 7:2 the WISC-V is standard in school contexts tested on the NPE.",Assessment
"On the PAI, which validity scale indicates exaggerated negative presentation (“faking bad”)?",PIM,NIM,ICN,INF,,B,NIM (Negative Impression Management) reflects over-reporting of negative symptoms; PIM reflects overly favorable impression. NPE items often ask you to differentiate these.,Assessment
"According to the reading, how should the DASS/DASS-21 be used in clinical practice?",As a standalone diagnostic tool,To assign DSM diagnoses directly,Not diagnostic; for symptom severity feedback and monitoring,For children only,,C,The DASS is not diagnostic; it provides severity bands and helps monitor change. Misusing it as diagnostic is a common exam trap.,Assessment
Which K10 cutoff maximized true positives among screened positives in the cited data?,≥10,≥20,≥25,≥30,,D,A score ≥30 produced the highest proportion of screened positives who were true cases; knowing evidence-based cutoffs is frequently probed on the NPE.,Assessment
"For SDQ interpretation in general population samples, which pair forms the “internalizing” composite?",Conduct + Hyperactivity,Emotional + Peer problems,Prosocial + Hyperactivity,Emotional + Conduct,,B,Internalizing: Emotional + Peer; Externalizing: Conduct + Hyperactivity; Prosocial is separate. NPE often tests SDQ composites and outcomes use.,Assessment
Which is NOT an appropriate use of the WIAT-III per the reading?,Diagnosing specific learning disorders,Identifying academic strengths/weaknesses,Eligibility for school-based supports,Measuring academic giftedness in adults/older adolescents,,D,"The WIAT-III is not to be used to measure academic giftedness in adults/older adolescents, a nuance the NPE may test.",Assessment
"In ABAS-3, which domains combine to yield the General Adaptive Composite (GAC)?","Conceptual, Social, Practical","Communication, Social, Motor","Home/School Living, Work, Leisure","Self-Care, Health & Safety, Motor",,A,"GAC is the overall score derived from Conceptual, Social, and Practical domains—vital for differential diagnosis and service eligibility questions.",Assessment
You need a quick preliminary memory screen before deciding on a full battery. What does the reading recommend?,Administer the full WMS-IV first,Use BCSE or RBANS for screening,Skip screening and rely on interview,Use WRAML2 only,,B,The WMS-IV is not recommended for preliminary screening; use the Brief Cognitive Status Exam (BCSE) or RBANS first. This screens efficiently—often asked on exams.,Assessment
Which NEO PI-R response pattern renders the profile invalid per the scoring cautions?,>20 missing responses,>41 missing responses,More than 100 “agree/strongly agree” responses,Answering in under 10 minutes,,B,"Per scoring cautions, >41 missing items invalidates the NEO PI-R. Also watch for acquiescence (>150 agree/strongly agree) as a caution—classic NPE validity pitfall.",Assessment
Which statement about the SB5 Abbreviated Battery IQ (ABIQ) is TRUE?,Takes 60–90 minutes and provides detailed factor scores,Used when time is limited to give a global estimate,Only for adults 18+,Not suitable for screening,,B,"ABIQ can be derived in ~15–20 minutes to yield a global estimate, useful for screening and triage—knowledge commonly tested on the NPE.",Assessment
"On the CBCL, which threshold indicates the clinical range for Problem Items?",T ≤ 37,T = 50,T ≥ 60,T ≥ 70,,C,"For Problem Items, T≥60 is clinical; for Competence, T<37 is clinical. Remembering separate cutoffs for problem vs competence is an exam favorite.",Assessment
What does the reading say about WAIS-IV norms for Australia/New Zealand?,AUS/NZ norms are available and preferred,Only UK norms are available,AUS/NZ norms are not available; US norms are used,No norms exist; use clinical judgment only,,C,WAIS-IV AUS/NZ norms are not available; the instrument relies on US norms—important for interpretation and cultural considerations.,Assessment
What caution does the reading give regarding DASS use with Aboriginal Australians?,It has specific Aboriginal norms,It has construct validation studies confirming equivalence,No construct validation studies exist; interpret with caution,It is preferred over all other scales,,C,"The reading notes no construct validation studies in Aboriginal Australian populations, so interpret cautiously—an ethics/culture point the NPE emphasizes.",Assessment
The WJ-III Cognitive battery is grounded in which theoretical model?,Spearman’s g only,Gardner’s Multiple Intelligences,Cattell-Horn-Carroll (CHC),Piagetian stages,,C,The WJ-III COG is based on the CHC theory—matching tests to theory is a routine NPE knowledge area.,Assessment
